scenario,price_high_q,fundamental_high_q,fundamental_low_q,exposure,control,high_price_exposed_rate,high_price_unexposed_rate,high_price_difference_pp,high_price_relative_lift,low_price_exposed_rate,low_price_unexposed_rate,low_price_difference_pp,price_difference_eur_per_mwh,valid_strata,weighted_common_support_rows,exposed_rows,unexposed_rows
price_p95,0.95,0.9,0.1,high_abs_residual_ramp,year_month_x_delivery_hour_x_weekend,0.048614508222157404,0.06464918738325232,-1.6034679161094911,0.7519740029207425,0.043047816892232825,0.0691381926964842,-2.609037580425138,-0.1636059934554197,883,15744,4409,39438
price_p95,0.95,0.9,0.1,high_residual_and_low_renewable,year_month_x_delivery_hour_x_weekend,0.48077451328389015,0.09042198674850774,39.035252653538244,5.317008955145796,0.0,0.016220476228732607,-1.6220476228732608,54.44369823001509,635,13110,1966,41881
price_p95,0.95,0.9,0.1,composite_fundamental_stress,year_month_x_delivery_hour_x_weekend,0.4399823348866606,0.0870820540281418,35.29002808585188,5.052502950199981,0.0,0.018688321445565065,-1.8688321445565066,51.62472072790527,696,14241,2317,41530
states_p85_p15,0.9,0.85,0.15,high_residual_load,year_month_x_delivery_hour,0.5123911626250629,0.056864387708229526,45.55267749168333,9.010756701613243,0.0,0.06141426637602761,-6.141426637602761,57.0524940808031,985,29964,6593,37254
states_p85_p15,0.9,0.85,0.15,low_renewable_share,year_month_x_delivery_hour,0.3121643429422171,0.07399548766236087,23.816885527985626,4.218694312369605,0.0002860206692231929,0.08196567013248014,-8.167964946325695,43.288346028103504,1075,32707,6593,37254
states_p85_p15,0.9,0.85,0.15,high_abs_residual_ramp,year_month_x_delivery_hour,0.10099172980884329,0.11286388535933266,-1.1872155550489372,0.8948099694362713,0.04463464615765836,0.10328947540236724,-5.865482924470888,8.955124702156894,873,26570,6593,37254
states_p85_p15,0.9,0.85,0.15,high_residual_and_low_renewable,year_month_x_delivery_hour,0.5863203184296398,0.12008444031313746,46.62358781165024,4.882566941235061,0.0,0.04434946379549186,-4.434946379549186,55.90582117971796,749,22759,3391,40456
states_p85_p15,0.9,0.85,0.15,composite_fundamental_stress,year_month_x_delivery_hour,0.5376304733556604,0.10787641012538757,42.97540632302728,4.983763111237744,0.0,0.048396678477767865,-4.839667847776787,53.981967657787166,823,25020,4130,39717
states_p85_p15,0.9,0.85,0.15,high_residual_load,year_month_x_delivery_hour_x_weekend,0.4991389810160642,0.07314542669410766,42.59935543219565,6.8239260275758715,0.0,0.031094835267464982,-3.109483526746498,49.66710336861037,1123,22578,6593,37254
states_p85_p15,0.9,0.85,0.15,low_renewable_share,year_month_x_delivery_hour_x_weekend,0.3103599299134263,0.08280734504617124,22.75525848672551,3.747975855769529,0.0002965448903749872,0.07305541784276467,-7.275887295238968,41.44943362261276,1814,29770,6593,37254
states_p85_p15,0.9,0.85,0.15,high_abs_residual_ramp,year_month_x_delivery_hour_x_weekend,0.10043139885530064,0.13535440875928792,-3.4923009903987277,0.7419883827641418,0.04746694198089418,0.07907630768940889,-3.1609365708514714,1.5789775105732957,1221,21257,6593,37254
states_p85_p15,0.9,0.85,0.15,high_residual_and_low_renewable,year_month_x_delivery_hour_x_weekend,0.5850936364910488,0.15315041985848254,43.19432166325663,3.820385455238713,0.0,0.022693647909464067,-2.2693647909464065,49.69577741399284,883,17373,3391,40456
