period_type,period,rows,exposed_rows,high_price_exposed_rate,high_price_unexposed_rate,high_price_difference_pp,high_price_relative_lift,valid_strata,weighted_common_support_rows
year_month,2022-09,720,37,0.372615039281706,0.24354657687991024,12.906846240179574,1.529953917050691,8,240
year_month,2022-10,745,45,0.6751760563380282,0.11971830985915491,55.545774647887335,5.639705882352943,11,341
year_month,2022-11,720,40,0.8551912568306012,0.09198542805100182,76.32058287795994,9.297029702970297,17,510
year_month,2022-12,744,40,0.49165120593692013,0.1224489795918367,36.92022263450834,4.015151515151516,14,434
year_month,2023-01,744,43,0.8589527027027029,0.07601351351351351,78.29391891891893,11.300000000000002,15,465
year_month,2023-02,672,42,0.7126315789473683,0.1494736842105263,56.3157894736842,4.767605633802817,9,252
year_month,2023-03,743,45,0.7870689655172415,0.15344827586206897,63.362068965517246,5.129213483146068,12,372
year_month,2023-04,720,43,0.6851338873499538,0.1431209602954755,54.201292705447834,4.787096774193549,12,360
year_month,2023-05,744,45,0.6460869565217391,0.1965217391304348,44.95652173913043,3.2876106194690258,13,403
year_month,2023-06,720,28,0.7307692307692307,0.2248520710059172,50.59171597633135,3.249999999999999,6,180
year_month,2023-07,744,52,0.70949263502455,0.1816693944353519,52.782324058919805,3.9054054054054053,9,279
year_month,2023-08,744,33,0.7276029055690072,0.18644067796610164,54.116222760290555,3.9025974025974035,6,186
year_month,2023-09,720,38,0.7560439560439559,0.2714285714285714,48.46153846153845,2.7854251012145745,8,240
year_month,2023-10,745,45,0.7402482269503544,0.16932624113475178,57.09219858156026,4.371727748691098,9,279
year_month,2023-11,720,47,0.7399209486166007,0.09090909090909086,64.90118577075098,8.139130434782613,19,570
year_month,2023-12,744,47,0.7638888888888887,0.08719135802469133,67.66975308641973,8.761061946902656,15,465
year_month,2024-01,744,48,0.638763197586727,0.09276018099547509,54.600301659125186,6.886178861788619,17,527
year_month,2024-02,696,50,0.6317891373801915,0.13658146964856233,49.52076677316292,4.625730994152044,18,522
year_month,2024-03,743,44,0.8066298342541436,0.19337016574585636,61.32596685082872,4.171428571428571,9,279
year_month,2024-04,720,48,0.6814159292035397,0.17876106194690264,50.2654867256637,3.8118811881188113,9,270
year_month,2024-05,744,34,0.6229885057471264,0.27356321839080455,34.94252873563218,2.2773109243697482,9,279
year_month,2024-06,720,35,0.7270501835985312,0.23378212974296206,49.326805385556916,3.1099476439790577,7,210
year_month,2024-07,744,36,0.6413793103448275,0.2885057471264368,35.28735632183908,2.2231075697211153,7,217
year_month,2024-08,744,33,0.6763959390862945,0.3083756345177665,36.8020304568528,2.1934156378600824,6,186
year_month,2024-09,720,38,0.6977459016393442,0.1875,51.02459016393443,3.721311475409836,12,360
year_month,2024-10,745,44,0.643238434163701,0.199288256227758,44.39501779359429,3.227678571428571,12,372
year_month,2024-11,720,35,0.73475935828877,0.11229946524064172,62.24598930481283,6.542857142857143,13,390
year_month,2024-12,744,46,0.7187981510015407,0.08859784283513099,63.02003081664097,8.113043478260867,19,589
